id,franchise_id,space_min_sqft,space_max_sqft,required_property_type,staff_required_min,staff_required_max,staff_breakdown,operating_hours,training_provided,training_details,computer_requirements,marketing_support,preferred_locations,qualification_required,supply_chain_support,quality_control,created_by,updated_by,created_at,updated_at,territory_details,development_schedule,support_training,legal_compliance
1f77fd55-bddf-47fa-8d97-8ed5080ab6a8,b38c39c0-b9f6-495f-b8be-a65b1c0b9221,300.0,800.0,,4.0,10.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 19:03,2024-01-15 03:19:05.00,,,,
40f59b8d-dd1f-47d7-b6f2-dcb11bc93a75,c8f6989c-d785-4cf7-b127-b7ba288a3314,200.0,500.0,,3.0,8.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-17 5:49,2024-01-15 15:55:01.00,,,,
a11c827e-7d23-426c-a38d-af3be384adbd,b297c5b9-82e3-4c3d-88fc-c509ae881207,100.0,150.0,,2.0,4.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-17 11:31,2024-01-15 13:59:08.00,,,,
77d90a33-f707-4972-87e7-8941aa447dba,6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,400.0,1000.0,,4.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 8:15,2024-01-15 15:08:01.00,,,,
a092d61b-c0b0-42e3-8897-f4023def619b,afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,1000.0,1100.0,,2.0,3.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 12:00,2024-01-15 11:11:09.00,,,,
86204772-4df1-43ea-b754-9ab9ebb0cebf,09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,,,,,,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-16 23:37,2024-01-15 13:47:02.00,,,,
bddcaa8d-8516-47b5-85ee-9c5982272ae4,b781fa76-8eaf-4cf9-a15c-b6a1c3503554,500.0,1500.0,,3.0,6.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-17 8:35,2024-01-15 11:56:00.00,,,,
810bffb5-a8ea-4b54-8dab-43142e124eb6,0e50ed02-6937-4c8d-aa31-b4202a5f77cd,400.0,2000.0,,2.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-01-15 11:06:20,2024-01-15 06:59:08.00,,,,
05909849-db48-4994-94c6-b3216959dd32,7e62e026-71a1-4b49-971d-e8bcd1cc4e54,1000.0,2000.0,,,,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 1:45,2024-01-15 21:01:00.00,,,,
5ac60d2a-77fa-4e03-a03c-2268bd33d356,8a873fc8-8a68-461e-81f4-55d7f192f2b1,750.0,1500.0,,,,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 3:25,2024-01-15 00:03:07.00,,,,
4d2f6584-ab5c-49c2-9780-df3332fd17e3,fc244900-e4b1-4eec-8e70-eb778beac3a5,750.0,2000.0,,3.0,6.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 4:34,2024-01-15 10:04:02.00,,,,
fd57720e-9269-47a3-b117-2828a0f2554b,a6ae3e8e-b3da-4406-9a53-1f411523033b,685.0,1142.0,,2.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 15:28,2024-01-15 04:15:00.00,,,,
fe29e4c8-8bf0-46ad-ac7c-1a3db92363f7,f610d893-650e-46e2-89a6-c50f59036275,800.0,1000.0,,2.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 18:12,2024-01-15 12:18:00.00,,,,
9e3a8318-a90e-4211-aefd-f2fc92080047,1dac1aa2-22c2-41e9-a608-2ffb1cefdf84,750.0,1000.0,,2.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 21:30,2024-01-15 05:21:06.00,,,,
070300b7-dd2c-4dc5-b3b8-3640014916cd,1ee2cd39-dcf0-4e78-971d-967b8f1e2f12,1000.0,5000.0,,2.0,10.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-16 2:00,2024-01-15 00:26:01.00,,,,
d010eb9e-828d-495a-9137-ed8c08458703,1c97dc61-7708-4958-8222-3fe8fa9275bc,1500.0,2000.0,,5.0,8.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-16 16:00,2024-01-15 00:40:05.00,,,,
a326bee6-f289-457c-9f66-4a8ad65d1c9e,9ab139e7-cf16-4085-9352-c51d74e61115,500.0,500.0,,3.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-16 17:55,2024-01-15 07:41:00.00,,,,
69e16882-64e3-4f3d-a49c-5cb3add3dca3,ac303bf7-2a32-471d-9be1-a1dbb2e915e7,1000.0,1500.0,,,,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-17 0:19,2024-01-15 19:48:03.00,,,,
86bbf9bb-56bd-45d6-9771-0a902df1eea9,df361e73-da0e-4e50-992d-e95e57306357,500.0,1000.0,,2.0,3.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 7:07,2024-01-15 07:07:03.00,,,,
a7504bc9-34d0-400c-b676-8a83b90ec34b,c8bbd1a5-9676-4a19-b8c4-1b2f22fe8148,40000.0,45000.0,,5.0,10.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 9:34,2024-01-15 10:09:05.00,,,,
c77be388-344b-4b0e-90ff-866da3ad36e4,88848236-153f-41d1-85cd-4a9001af249c,3000.0,7000.0,,2.0,5.0,[],,True,,,,,,False,False,00000000-0000-0000-0000-000000000001,,2024-1-15 9:47,2024-01-15 23:09:04.00,,,,
